Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Anthony Firkser,DET,TE,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dez Fitzpatrick,PIT,WR,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Myles Gaskin,2TM,RB,26,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Zach Gentry,LVR,TE,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Reggie Gilliam,BUF,FB,26,17,0,1,1,0,0,0,0,0,0,3,0,,0,0,0
Antoine Green,DET,WR,24,9,0,2,1,0,0,0,0,0,0,2,0,,0,0,0
Jacob Harris,JAX,WR,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
N'Keal Harry,MIN,WR,26,9,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jamycal Hasty,2TM,RB,27,5,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Parker Hesse,ATL,TE,28,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
J.P. Holtz,NOR,TE,30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Travis Homer,CHI,RB,25,16,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Jesper Horsted,LVR,TE,26,13,0,1,1,0,0,0,0,0,0,4,0,,0,0,0
Mohamed Ibrahim,DET,RB,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Godwin Igwebuike,2TM,RB,29,12,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Andy Isabella,BUF,WR,27,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kearis Jackson,TEN,WR,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lucky Jackson,MIN,WR,26,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Shedrick Jackson,CIN,WR,24,5,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Tyree Jackson,NYG,TE,26,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Johnny Johnson,HOU,WR,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Hunter Kampmoyer,LAC,TE,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dalton Keene,HOU,TE,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tyler Kroft,MIA,TE,31,8,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Zack Kuntz,NYJ,TE,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kwamie Lassiter II,CIN,WR,25,1,0,1,1,0,0,0,0,0,0,2,0,,0,0,0
Hunter Long,LAR,TE,25,4,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tay Martin,SFO,WR,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ben Mason,BAL,FB,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jordan Matthews,CAR,TE,31,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kenny McIntosh,SEA,RB,23,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Sean McKeon,DAL,TE,26,9,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Tre' McKitty,LAC,TE,24,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jeremy McNichols,SFO,RB,28,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kirk Merritt,NOR,WR,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ryan Miller,TAM,WR,23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jordan Mims,NOR,RB,24,2,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Stanley Morgan Jr.,CIN,WR,27,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Albert Okwuegbunam,PHI,TE,25,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Qadree Ollison,PIT,RB,27,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Henry Pearson,GNB,FB,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Josh Pederson,JAX,TE,26,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Nathan Peterman,CHI,QB,29,2,0,0,0,0,0,0,-4,0,2,0,0,,0,1,0
Adam Prentice,NOR,FB,26,13,1,3,2,0,0,0,12,0,2,12,0,,0,1,1
Deneric Prince,KAN,RB,23,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Giovanni Ricci,CAR,FB,27,5,0,1,1,0,0,0,0,0,0,2,0,,0,0,0
James Robinson,GNB,RB,25,1,0,1,1,0,0,0,2,0,1,-2,0,,0,0,0
Aaron Rodgers,NYJ,QB,40,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0
Amari Rodgers,IND,WR,24,3,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Brady Russell,SEA,TE,25,15,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
David Sills,DEN,WR,27,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Matthew Slater,NWE,WR,38,16,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tre'Quan Smith,DEN,WR,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Matt Sokol,NWE,TE,28,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
SaRodorick Thompson,SEA,RB,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mitchell Tinsley,WAS,WR,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Noah Togiai,PHI,TE,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kyle Trask,TAM,QB,25,2,0,0,0,0,0,1,-1,0,1,0,0,,0,0,0
DJ Turner,LVR,WR,26,10,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Xazavian Valladay,NYJ,RB,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Nick Vannett,LAC,TE,30,8,5,1,1,0,0,0,0,0,0,3,0,,0,0,0
Travis Vokolek,ARI,TE,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dwayne Washington,DEN,RB,29,13,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
